review
너무너무 맛있어요!! 가족 여행 왔는데 어디 갈지 하다가 진짜 싼 가격에 고기 퀄리티 좋은 식당 찾아서 평생 단골집 찾았습니다 ㅎㅎ 근처에 부산대학교가 있어서 식사하고 산책하기도 좋아요 직원분이랑 사장님이 엄청 친절하시고 정도 많으셔서 불편함 없이 잘 먹었습니다 ㅎㅎㅎ
"근처에 맛있는 대패집이 생겨서 좋네요. 매장인테리어는 제주돌하르방컨셉으로 깔끔하고 군더더기 없고 쾌적합니다. 저녁에 술한잔하기도 좋고 아이와 혹은 가족끼리와도 굉장히 어울리네요. 제주오겹대패와 꼬들대패가 메인이긴한데 다른 여러가지 고기 종류도 있습니다. 개인적으로는 꼬들대패가 더 맛있었네요. 된장찌개는 여러가지 재료와 게도 들어가있습니다. 보통이상의 맛입니다. 기본반찬은 제공되지않지만 셀프바에서 여러가지 다양한 채소와 밑반찬이 있네요. 다만, 1인당 1500원이 추가됩니다. 또 다른 단점으로는 에어컨바람이 전체적으로 순환되지않고 국부적으로 돌아서 다소 온도차가 있다는 점, 종소리가 너무 잦아서 대화가 끊기고 신경쓰이는점이 있겠네요. 그럼에도 전체적으로 맛있고 가성비 있는 곳이라 종종 방문 할것 같네요!"
가성비맛집입니다 고기질 좋고 셀프빠 이용하기 좋아요 맛은 기본이공~ 마지막 된장술밥 넘 맛있어요
매장이 북극인줄 알았네요 너무 시원하고 고기는 진짜 존맛탱입니다.. 강추
샐러드바가 정말 좋고 대패삼겹도 좋아요~ 바삭바삭 삼겹살 맛난 부자료도 많음
"부산대 새로 생긴대패삼겹 부담없이..맛나게.. 야채,만두,어묵등이 셀프라..마음껏.. 차림비 대비 가성비 좋아요 라면도 끓여먹는거 500원 이랍니다.. 앞으로 계속. 맛나게 유지해주세용.. 오픈해서 수건도 받아서 완전 만족"
맛납니다. 부산대대패맛집 모임도 추천
"부산대 근처에 새로운 대패집이 오픈했다하여 방문했습니다. 비오는 날엔 고기에 알콜이 들어가줘야죠*’v’* 우선 샐러드바가 깔끔하게 정렬되어 있어 좋았고, 부족한 반찬이 있으면 직원분들이 금방 금방 채워 주시더라구요. 대패는 금방 익어서 구워 먹기 젤 좋잖아요? 전 여기 꼬들대패가 너무 맛있었어요. 고기 다 먹고 된장찌개에 볶음밥까지 해먹으면.. 작성하는데도 군침이 도네요. 친절하신 사장님과 직원분 덕에 기분좋게 이용했습니다. 가게 내부도 넓고 테이블 수가 많아서 단체로 이용하기도 좋을 거 같아요. 자주 방문할 예정입니다 !"
직원분들 핀절하고 고기도 맛있어요^^
먹느라 바빠 사진이 두장밖에 없네요..ㅎ 매장직원분들 넘넘 친절하시고 주차도 가능하고 맛도 좋고 엄~~청 넓어요 샐러드바 완전 맘에 들고요~ 근처 가족끼리 갈 공간이 별로 없었는데 가족공간이 생겨 넘 좋네요 오늘 오픈이라 그런지 수건도 한장 받았어요~ 그것도 1인당 1장.. 대~~박..ㅋㅋ 담엔 친구 모임을 기대하며~~♡♡
집근처에 생겨서 방문해보았습니다. 손님이 많더라고요 매장도 넓고 맛도 괜찮았어요 그런데 주문 알림인지 띵동? 암튼 소리가 계속 들려서 가족들과 식사 하는데 방해가 되었습니다 직원들만 들렸으면 좋겠네요
고기도 맛있고 채소와 버섯 등 셀프바가 풍성해서 좋습니다.
맛있고 친절하고 젤 중요한게 고기가 넘 맛있었어요 최고최고
다양한 쌈 야채와 반찬을 셀프로 제한없이 먹을 수 있는건 장점입니다! 된장은 꼭 팔팔 끓은 후 먹어야 맛있어요~ 고기는 무난합니다!
꼬들대패 정말 맛있습니다😋 오픈축하드려요❣️
오늘갔더니 오겹살에만 나오는지 모르겠지만 멜젓이 추가돼서 맛있게 잘 먹었어요. 아이들이 삼겹살에 멜젓찍어먹는걸 좋아해서 몇번이나 다른 가게로갔었는데 이젠 그냥 조선대패로 가면 될거같아요~
가족모임을 위해 선택한 장소입니다. 아이랑 남편이랑 제 언니랑 같이 가서 푸짐하게 먹고 왔습니다. 아이랑 처음 고기집에 가는 거라서 어떨까 했는데 계란찜도 있고 냉면도 있어서 골라먹으며 잘 먹었습니다. 입맛에도 딱맞는 고기였고 모든 고기가 제주도 고기에서 잡내도 안나고 맛있었습니다. 뷔페식으로 자신이 먹고 싶은 반찬은 자유롭게 더 가져와서 먹을 수 있기에 만족스럽네요. 번창하세요♡
셀프바 먹을꺼 많아요^^
정신없이 먹었습니다 너무 맛 나서!! 직원분들 너무 친절하시고 셀프바가 다양해서 일반 대패집이랑 다른느낌이었어요 금정구에 이런 대패집이 생겨서 너무 좋은거 같습니다😄🥲
집근처에 새로생겨 방문했어요. 처음이라그런지 고기질도 괜찮고 샐러드바 구성도 괜찮아서 맛있게 식사를 했지만. 샐러드바에 있는 팥빙수를 디저트로 먹으려하니 팥이랑 연유가 소진되어 리필이 안된다고 하더라구요. 영업시간이 끝난것도아니고 유료로 이용하는 샐러드바이면 재료소진 전에 미리미리 리필해둬야하는거 아닌가요?? ‘’건들거리면서 연유없는데 지금 사올까요’’하던 젊은 사장은 연유사온다더니 주방이모가 나와서 연유찾아주니 어디론가 숨어버리고. 죄송하단 말한마디 없었어요. 아버지사장님도 팥빙수는 서비스메뉴라고 하시던데. 그러면 재료소진시 리필불가라는 문구를 써놓으시던지요. 아무튼 식사 잘하고 불쾌한마음으로 나왔습니다. 젊은사장님은 고객응대 서비스교육 좀 더 받으시고 나오시길…
군인들 다같이 와서 먹기 좋아요
집 근처에 고기집 새로 생겼다해서 왔는데 엄청 넓고 고기가 다른 대패집 보다 더 맛있는거 같아용 다음에 또 올게요 ㅎㅎ
새로 오픈한 곳이라 방문했는데 셀프바가 좋네요!
너무 맛있게 잘 먹고 직원분들도 너무 친절하십니다 최고👍
"매장이 넓고, 깔끔하고, 반찬이 아주 많아요"
부산대 고기집 중 가장 맛있어요! 친구들과 가족 데리고 또 오고싶습니다 :)
굿
