file,detected_encoding,confidence,converted_path,notes
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_나오리쇼쿠_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_나오리쇼쿠_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_나이트폴_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_나이트폴_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_낙곱새 고래섬 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_낙곱새 고래섬 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_낙양_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_낙양_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_남썬 치킨 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_남썬 치킨 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_내가찜한닭 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_내가찜한닭 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_노랑통닭 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_노랑통닭 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_뉴숯불통닭 본점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_뉴숯불통닭 본점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_대길고추불고기_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_대길고추불고기_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_대박횟집 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_대박횟집 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_대성관초밥_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_대성관초밥_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_덮밥장사장 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_덮밥장사장 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_도미노피자 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_도미노피자 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_도야지면옥 본점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_도야지면옥 본점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_동대문엽기떡볶이 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_동대문엽기떡볶이 부산대점_2025-09-01.csv,
